SupplyChainId,Category,SubCategory,ProductId,ProductName,Description,Price,Quantity,ShippingCost,DeliveryTime,SellerId,SellerName,SellerCountry,SellerRating,SellerFeedback,OrderNumber,OrderId,OrderStatus,OrderDate,CustomerId
127,Jewelry,Athletic Wear,109,Waffle Maker,90 Degree By Reflex Yoga Pants,150,3,6,2,160,Isabella Doe,Canada,4.9,90,8,12345,Returned,########,353
140,Sports,Parts,106,Tires,HP Color LaserJet Printer,99.99,1,5,2,173,James Doe,US,4.9,90,16,12359,Cancelled,########,361
138,Toys,Parts,108,Tent,Spiderman Action Figure,400,4,7,1,158,Noah Doe,Korea,4.9,85,20,12361,Delivered,########,345
123,Beauty,Running Shoes,106,Soda,Nike Pegasus 36 Running Shoes,19.99,1,8,2,160,Sophia Doe,Australia,4.7,90,12,12347,Delivered,########,353
127,Clothing,Board Games,104,Soda,Barbie Dreamhouse Playset,2199,2,8,1,173,James Doe,Mexico,4.9,85,8,12345,Returned,########,356
130,Home Improvement,Supplements,106,Drill,90 Degree By Reflex Yoga Pants,100,2,5,3,170,Ava Doe,Indonesia,4.7,80,10,12362,Cancelled,########,357
123,Clothing,Fiction,113,Waffle Maker,Coleman 4 Person Tent,25,1,8,3,158,Mia Doe,South Africa,4.9,95,3,12355,Returned,########,346
124,Clothing,Appliances,113,Tent,Dewalt 18 Volt Drill,599,2,5,1,159,David Doe,India,4.9,85,8,12348,Shipped,########,348
123,Sports,Living Room,112,Spiderman,Michelin Primacy Tires,99.99,2,5,3,160,Mark Doe,UK,4.9,90,7,12361,Returned,########,349
132,Automotive,Office Supplies,112,Barbie,Keurig K-Cup Coffee Maker,80,2,7,2,170,David Doe,Korea,4.8,90,20,12362,Returned,########,352
125,Shoes,Televisions,106,Drill,Optimum Nutrition Protein Powder,5.99,1,5,1,172,John Doe,India,4.8,75,14,12353,Cancelled,########,360
133,Jewelry,Small Appliances,118,Tires,Spiderman Action Figure,80,3,5,3,166,Emily Doe,Brazil,4.9,95,18,12346,Delivered,########,350
139,Home Improvement,Necklaces,107,Sony Bravia,Nike Pegasus 36 Running Shoes,80,2,5,1,173,Oliver Doe,UK,4.8,90,18,12354,Cancelled,########,353
131,Games,Supplements,115,Diamond Necklace,Pepsi 12 Pack,120,4,5,3,175,Tom Doe,Brazil,4.9,80,7,12361,Cancelled,########,357
133,Automotive,Athletic Wear,116,Printer,Keurig K-Cup Coffee Maker,99.99,1,5,1,160,Jack Doe,Australia,4.8,95,11,12347,Shipped,########,356
136,Clothing,Living Room,101,Waffle Maker,90 Degree By Reflex Yoga Pants,400,1,15,3,163,Sarah Doe,Mexico,4.8,90,17,12347,Shipped,########,346
134,Home Improvement,Appliances,104,Harry Potter,50 inch LED 4K Ultra HD TV,50,4,8,2,170,Jack Doe,Russia,4.9,85,19,12349,Delivered,########,347
124,Home Improvement,Athletic Wear,104,Drill,Optimum Nutrition Protein Powder,25,4,8,3,175,Jack Doe,Spain,4.8,95,1,12345,Delivered,########,356
129,Jewelry,Makeup,120,Protein Powder,Harry Potter and the Sorcerer's Stone,19,2,6,1,168,Olivia Doe,UK,4.9,95,7,12347,Cancelled,########,362
139,Automotive,Beverages,102,Drill,Michelin Primacy Tires,11.99,4,10,2,173,Elizabeth Doe,UK,4.8,98,12,12361,Cancelled,########,346
129,Automotive,Action Figures,112,Barbie,Nike Pegasus 36 Running Shoes,400,1,6,3,163,James Doe,Mexico,4.9,90,6,12348,Shipped,########,362
123,Electronics,Small Appliances,115,Drill,Ashley Furniture Sofa,120,1,8,1,168,Isabella Doe,Italy,4.7,90,2,12350,Cancelled,########,354
135,Outdoors,Appliances,105,Monopoly,Cuisinart Belgian Waffle Maker,599,2,6,1,168,Tom Doe,Russia,4.9,85,4,12352,Delivered,########,354
139,Office,Fiction,119,Nike Pegasus,Hasbro Monopoly Game,25,4,6,2,159,John Doe,Korea,4.9,95,20,12351,Shipped,########,348
139,Books,Running Shoes,107,Printer,Apple iPhone 11 64GB,35,1,10,3,162,Isabella Doe,US,4.9,95,18,12347,Shipped,########,348
134,Games,Small Appliances,101,Sony Bravia,Apple iPhone 11 64GB,799,1,7,2,166,Emily Doe,South Africa,4.8,95,16,12358,Cancelled,########,349
127,Games,Makeup,114,Foundation,50 inch LED 4K Ultra HD TV,599,3,6,3,173,William Doe,Japan,4.9,98,17,12345,Shipped,########,362
142,Shoes,Necklaces,112,Waffle Maker,Levis 511 Slim Fit Jeans,400,1,6,2,175,Sarah Doe,Canada,4.9,90,19,12359,Shipped,########,345
134,Jewelry,Televisions,119,Soda,Keurig K-Cup Coffee Maker,35,1,5,1,157,Emily Doe,South Africa,4.9,98,18,12349,Delivered,########,363
123,Furniture,Beverages,109,Spiderman,Nike Pegasus 36 Running Shoes,90,4,5,2,168,Emma Doe,Brazil,4.9,85,17,12357,Returned,########,350
140,Games,Small Appliances,117,Foundation,Ashley Furniture Sofa,19,2,6,3,169,William Doe,Italy,4.9,75,2,12351,Returned,########,361
142,Home Improvement,Makeup,109,Drill,Loreal True Match Foundation,19,4,7,3,168,Sarah Doe,Germany,4.9,98,13,12349,Cancelled,########,357
134,Shoes,Fiction,106,Drill,1 Carat Diamond Necklace,2199,2,6,2,168,Jack Doe,France,4.9,90,14,12357,Cancelled,########,357
132,Jewelry,Appliances,120,Tent,Dewalt 18 Volt Drill,150,4,6,1,166,Emma Doe,France,4.9,95,19,12349,Shipped,########,348
140,Electronics,Makeup,117,Protein Powder,Optimum Nutrition Protein Powder,120,2,6,2,158,James Doe,China,4.7,90,9,12345,Returned,########,346
139,Games,Appliances,108,Drill,Keurig K-Cup Coffee Maker,5.99,3,8,2,168,David Doe,Canada,4.9,75,12,12345,Shipped,########,357
124,Health,Board Games,114,Nike Pegasus,Optimum Nutrition Protein Powder,11.99,1,7,1,168,Sophia Doe,Russia,4.9,95,9,12354,Cancelled,########,347
133,Home Improvement,Phones,119,Printer,Apple iPhone 11 64GB,45,3,6,3,173,Mark Doe,South Africa,4.9,95,8,12355,Returned,########,345
135,Kitchen,Fiction,120,Tires,Nike Pegasus 36 Running Shoes,25,2,7,1,169,Jack Doe,Mexico,4.9,90,17,12345,Returned,########,348
132,Home Improvement,Phones,116,Diamond Necklace,Nike Pegasus 36 Running Shoes,100,3,7,1,167,William Doe,Israel,4.9,80,9,12364,Cancelled,########,354
129,Office,Running Shoes,111,Tent,Optimum Nutrition Protein Powder,90,1,8,1,158,Elizabeth Doe,Australia,4.9,85,15,12356,Cancelled,########,363
129,Sports,Phones,119,Monopoly,Levis 511 Slim Fit Jeans,150,3,10,2,169,Ava Doe,Australia,4.9,98,1,12345,Delivered,########,349
142,Grocery,Action Figures,109,Nike Pegasus,Cuisinart Belgian Waffle Maker,100,4,15,1,172,Tom Doe,Canada,4.9,98,20,12351,Delivered,########,351
131,Grocery,Phones,104,Coffee Maker,Dewalt 18 Volt Drill,599,1,5,2,168,David Doe,Japan,4.8,98,4,12349,Shipped,########,363
137,Electronics,Necklaces,103,Protein Powder,Ashley Furniture Sofa,19.99,2,7,1,166,Tom Doe,US,4.8,85,6,12348,Cancelled,########,363
124,Toys,Fiction,105,Printer,Apple iPhone 11 64GB,35,4,7,2,176,Jane Doe,Brazil,4.9,85,18,12354,Shipped,########,353
129,Furniture,Supplements,107,Soda,Spiderman Action Figure,19,1,5,2,170,Tom Doe,Spain,4.9,98,13,12362,Delivered,########,348
139,Books,Bottoms,120,Jeans,Cuisinart Belgian Waffle Maker,19,1,5,1,171,Elizabeth Doe,Germany,4.9,90,5,12345,Delivered,########,352
142,Clothing,Appliances,110,Drill,Ashley Furniture Sofa,50,4,5,3,165,John Doe,US,4.9,98,8,12347,Shipped,########,362
140,Health,Televisions,115,Yoga Pants,Harry Potter and the Sorcerer's Stone,5.99,4,5,2,163,Tom Doe,France,4.9,90,5,12355,Shipped,########,362
136,Clothing,Necklaces,118,Coffee Maker,Levis 511 Slim Fit Jeans,19.99,3,5,3,157,Sarah Doe,Italy,4.7,95,3,12362,Cancelled,########,360
138,Electronics,Running Shoes,110,Sony Bravia,HP Color LaserJet Printer,45,2,7,3,157,Emma Doe,Russia,4.9,75,4,12347,Delivered,########,360
142,Jewelry,Living Room,110,Nike Pegasus,Harry Potter and the Sorcerer's Stone,50,3,6,2,160,Isabella Doe,Spain,4.9,80,11,12347,Delivered,########,348
136,Furniture,Board Games,120,Yoga Pants,Hasbro Monopoly Game,19.99,4,6,3,167,James Doe,Canada,4.9,95,4,12362,Delivered,########,360
141,Beauty,Dolls,113,Spiderman,Pepsi 12 Pack,150,2,5,1,165,James Doe,France,4.8,90,14,12361,Delivered,########,362
134,Office,Phones,107,Harry Potter,Harry Potter and the Sorcerer's Stone,599,2,15,2,163,Isabella Doe,Australia,4.9,75,2,12362,Returned,########,351
140,Home Improvement,Tools,116,Printer,HP Color LaserJet Printer,99.99,1,8,1,160,James Doe,Germany,4.9,95,2,12345,Returned,########,345
142,Books,Parts,103,Yoga Pants,Keurig K-Cup Coffee Maker,120,2,5,1,172,Sarah Doe,Italy,4.9,90,17,12347,Delivered,########,349
125,Automotive,Fiction,107,Tent,Spiderman Action Figure,35,2,7,2,167,James Doe,Israel,4.9,85,6,12355,Returned,########,358
123,Home Improvement,Tools,114,Coffee Maker,Hasbro Monopoly Game,50,4,7,3,161,Mark Doe,Germany,4.8,80,14,12348,Cancelled,########,356
133,Outdoors,Small Appliances,117,Sofa,Nike Pegasus 36 Running Shoes,25,1,5,2,157,Elizabeth Doe,South Africa,4.9,95,3,12364,Cancelled,########,348
137,Office,Athletic Wear,110,Waffle Maker,90 Degree By Reflex Yoga Pants,90,1,8,1,164,Elizabeth Doe,China,4.8,95,16,12358,Delivered,########,363
127,Shoes,Fiction,113,Waffle Maker,Ashley Furniture Sofa,45,3,5,2,176,Isabella Doe,US,4.9,75,17,12353,Shipped,########,348
133,Health,Phones,104,Barbie,Levis 511 Slim Fit Jeans,400,3,6,1,157,Oliver Doe,Canada,4.9,90,17,12345,Cancelled,########,363
123,Games,Tools,118,Drill,Apple iPhone 11 64GB,599,3,7,3,174,Emily Doe,Israel,4.9,90,19,12348,Shipped,########,355
129,Health,Camping,102,Protein Powder,1 Carat Diamond Necklace,150,4,7,2,172,Noah Doe,Indonesia,4.9,85,9,12350,Shipped,########,361
142,Beauty,Phones,115,Drill,Ashley Furniture Sofa,120,3,7,3,163,Emma Doe,US,4.9,75,9,12357,Cancelled,########,359
124,Office,Televisions,112,Coffee Maker,Keurig K-Cup Coffee Maker,25,3,8,1,174,William Doe,Mexico,4.7,95,3,12348,Returned,########,353
140,Kitchen,Running Shoes,111,Barbie,Loreal True Match Foundation,19,1,8,3,175,Ava Doe,Canada,4.9,85,9,12352,Returned,########,355
124,Automotive,Bottoms,101,Nike Pegasus,Apple iPhone 11 64GB,25,3,10,1,172,William Doe,Italy,4.9,75,1,12345,Shipped,########,360
123,Shoes,Beverages,103,Protein Powder,Dewalt 18 Volt Drill,19.99,4,10,1,164,Mia Doe,Russia,4.9,75,3,12355,Cancelled,########,361
126,Automotive,Parts,106,Tent,Spiderman Action Figure,11.99,1,7,3,171,Sarah Doe,Indonesia,4.9,95,5,12350,Shipped,########,353
125,Health,Office Supplies,107,Soda,Keurig K-Cup Coffee Maker,150,3,15,3,173,Tom Doe,South Africa,4.9,85,8,12351,Cancelled,########,360
132,Office,Necklaces,105,Monopoly,Ashley Furniture Sofa,19.99,2,7,2,175,Jane Doe,Mexico,4.9,95,14,12346,Cancelled,########,360
128,Office,Living Room,118,Harry Potter,Levis 511 Slim Fit Jeans,80,1,5,2,170,Emma Doe,Japan,4.8,85,8,12362,Cancelled,########,345
141,Office,Fiction,119,Protein Powder,Levis 511 Slim Fit Jeans,19,3,8,2,163,Tom Doe,Indonesia,4.9,90,13,12346,Returned,########,345
129,Home Improvement,Necklaces,103,Spiderman,Harry Potter and the Sorcerer's Stone,90,2,15,3,159,Emma Doe,France,4.9,85,20,12363,Cancelled,########,358
127,Jewelry,Athletic Wear,102,Foundation,Optimum Nutrition Protein Powder,799,1,8,3,167,James Doe,Italy,4.7,90,11,12351,Cancelled,########,357
135,Home Improvement,Living Room,104,Foundation,Michelin Primacy Tires,799,2,10,2,174,Jane Doe,Germany,4.8,95,10,12352,Returned,########,354
141,Jewelry,Office Supplies,118,Harry Potter,50 inch LED 4K Ultra HD TV,599,1,7,1,159,Mia Doe,France,4.9,75,17,12345,Shipped,########,345
137,Books,Beverages,119,Jeans,1 Carat Diamond Necklace,100,1,10,1,164,Emma Doe,China,4.8,95,7,12350,Cancelled,########,355
137,Automotive,Dolls,115,iPhone 11,Cuisinart Belgian Waffle Maker,5.99,1,7,1,157,Sarah Doe,Korea,4.9,90,2,12362,Delivered,########,356
133,Beauty,Makeup,118,Tent,1 Carat Diamond Necklace,50,2,5,2,158,Mia Doe,France,4.7,75,9,12363,Shipped,########,360
133,Outdoors,Action Figures,106,Foundation,Michelin Primacy Tires,400,2,15,2,171,Emily Doe,South Africa,4.9,90,7,12364,Delivered,########,354
129,Furniture,Phones,119,Foundation,Optimum Nutrition Protein Powder,15,1,7,1,173,Oliver Doe,Indonesia,4.9,75,12,12354,Shipped,########,349
124,Outdoors,Camping,103,Harry Potter,Levis 511 Slim Fit Jeans,120,3,6,2,168,Mark Doe,South Africa,4.9,75,16,12359,Cancelled,########,362
140,Shoes,Bottoms,112,Printer,Nike Pegasus 36 Running Shoes,11.99,3,6,3,176,James Doe,Australia,4.9,95,14,12364,Shipped,########,360
132,Appliances,Bottoms,116,Drill,50 inch LED 4K Ultra HD TV,99.99,1,6,2,172,James Doe,Spain,4.9,80,8,12360,Returned,########,360
129,Appliances,Bottoms,117,Barbie,Nike Pegasus 36 Running Shoes,19.99,1,10,3,163,Tom Doe,Canada,4.9,90,15,12350,Shipped,########,349
140,Clothing,Action Figures,119,Barbie,90 Degree By Reflex Yoga Pants,5.99,1,5,1,158,Elizabeth Doe,Canada,4.8,90,20,12358,Returned,########,345
124,Clothing,Office Supplies,113,Tent,Keurig K-Cup Coffee Maker,99.99,1,5,3,172,William Doe,Korea,4.9,85,18,12360,Cancelled,########,355
138,Automotive,Fiction,111,Drill,HP Color LaserJet Printer,2199,1,10,3,167,Ava Doe,Japan,4.9,90,6,12357,Delivered,########,358
130,Appliances,Parts,118,Barbie,Pepsi 12 Pack,19.99,3,5,2,164,Sarah Doe,Russia,4.9,75,6,12352,Delivered,########,355
125,Grocery,Athletic Wear,106,iPhone 11,Apple iPhone 11 64GB,35,2,15,2,173,Sophia Doe,South Africa,4.9,90,7,12348,Delivered,########,352
125,Clothing,Beverages,118,Jeans,HP Color LaserJet Printer,50,2,10,3,170,Olivia Doe,Germany,4.9,95,4,12364,Shipped,########,360
129,Office,Office Supplies,113,Tent,Cuisinart Belgian Waffle Maker,2199,1,7,1,174,Mark Doe,Russia,4.9,85,5,12352,Cancelled,########,357
140,Automotive,Necklaces,110,Jeans,Cuisinart Belgian Waffle Maker,2199,2,5,1,165,Elizabeth Doe,Japan,4.9,90,9,12354,Shipped,########,352
140,Books,Phones,111,Barbie,Levis 511 Slim Fit Jeans,99.99,2,5,2,160,Jane Doe,Japan,4.9,75,13,12350,Returned,########,357
129,Sports,Tools,119,Harry Potter,Hasbro Monopoly Game,400,1,5,3,164,Emily Doe,Brazil,4.7,75,17,12351,Cancelled,########,348
138,Health,Supplements,119,Spiderman,Pepsi 12 Pack,599,1,6,1,159,Jack Doe,Indonesia,4.8,90,8,12354,Shipped,########,350
133,Office,Parts,117,Jeans,Optimum Nutrition Protein Powder,45,4,7,2,173,Mark Doe,Korea,4.9,90,12,12349,Cancelled,########,348
136,Beauty,Bottoms,106,Monopoly,Loreal True Match Foundation,100,1,5,2,173,Olivia Doe,South Africa,4.7,80,3,12353,Returned,########,349
124,Toys,Makeup,116,Printer,1 Carat Diamond Necklace,50,2,6,2,174,Jane Doe,Israel,4.8,90,3,12353,Delivered,########,360
130,Jewelry,Makeup,119,Waffle Maker,Levis 511 Slim Fit Jeans,15,1,7,3,162,Noah Doe,Canada,4.9,98,2,12346,Cancelled,########,348
133,Books,Action Figures,113,Jeans,90 Degree By Reflex Yoga Pants,90,1,7,3,163,Mark Doe,Germany,4.8,95,1,12363,Returned,########,351
125,Office,Televisions,106,Coffee Maker,Michelin Primacy Tires,11.99,4,6,3,174,Emily Doe,Spain,4.9,95,14,12352,Cancelled,########,351
129,Furniture,Parts,120,Sofa,Dewalt 18 Volt Drill,11.99,1,10,1,166,John Doe,Canada,4.9,98,10,12363,Delivered,########,348
127,Grocery,Dolls,113,Protein Powder,Levis 511 Slim Fit Jeans,15,3,8,1,160,James Doe,Canada,4.9,95,1,12355,Delivered,########,350
137,Beauty,Necklaces,101,iPhone 11,Keurig K-Cup Coffee Maker,80,3,7,3,157,Sophia Doe,Indonesia,4.9,90,4,12349,Shipped,########,354
124,Sports,Living Room,112,Monopoly,Cuisinart Belgian Waffle Maker,400,2,6,2,174,Sophia Doe,Israel,4.8,75,18,12345,Shipped,########,355
136,Office,Televisions,112,Drill,1 Carat Diamond Necklace,2199,3,5,3,167,Oliver Doe,Brazil,4.8,98,17,12348,Delivered,########,350
124,Sports,Board Games,107,Harry Potter,Barbie Dreamhouse Playset,50,2,7,1,157,Sophia Doe,Israel,4.9,90,12,12364,Shipped,########,364
131,Toys,Televisions,117,Foundation,Michelin Primacy Tires,25,1,5,1,163,David Doe,Canada,4.9,98,11,12363,Cancelled,########,358
128,Clothing,Dolls,109,Barbie,90 Degree By Reflex Yoga Pants,120,1,5,2,160,Noah Doe,Mexico,4.8,95,18,12351,Shipped,########,354
134,Clothing,Dolls,110,Spiderman,Pepsi 12 Pack,5.99,1,7,2,166,William Doe,China,4.9,98,10,12357,Returned,########,351
132,Games,Running Shoes,101,Protein Powder,Optimum Nutrition Protein Powder,5.99,1,7,1,172,Elizabeth Doe,US,4.9,95,2,12359,Cancelled,########,363
125,Books,Supplements,111,Harry Potter,Harry Potter and the Sorcerer's Stone,35,1,8,1,170,Jane Doe,China,4.9,95,8,12352,Returned,########,345
125,Health,Running Shoes,101,Foundation,Levis 511 Slim Fit Jeans,15,2,8,1,167,Mark Doe,India,4.9,95,5,12363,Delivered,########,353
135,Kitchen,Living Room,112,Jeans,HP Color LaserJet Printer,19,3,5,1,162,Emma Doe,UK,4.8,95,6,12350,Shipped,########,364
129,Home Improvement,Board Games,107,Barbie,Michelin Primacy Tires,150,2,6,3,164,Ava Doe,France,4.9,75,10,12354,Shipped,########,361
129,Books,Athletic Wear,116,Jeans,Keurig K-Cup Coffee Maker,80,1,5,2,163,Sarah Doe,China,4.9,98,16,12352,Cancelled,########,350
136,Furniture,Parts,107,Drill,Optimum Nutrition Protein Powder,90,1,7,2,175,Ava Doe,US,4.9,75,2,12348,Cancelled,########,352
139,Clothing,Board Games,115,Sofa,50 inch LED 4K Ultra HD TV,25,2,6,2,161,Ava Doe,India,4.8,90,14,12355,Delivered,########,354
128,Sports,Living Room,104,Tent,Nike Pegasus 36 Running Shoes,400,4,6,1,169,Sophia Doe,China,4.9,90,4,12357,Returned,########,361
134,Sports,Camping,107,Soda,Apple iPhone 11 64GB,35,1,5,2,159,Tom Doe,France,4.8,85,18,12355,Returned,########,350
134,Toys,Appliances,119,Sofa,Pepsi 12 Pack,15,1,8,1,159,Ava Doe,Italy,4.9,85,7,12345,Returned,########,357
142,Electronics,Living Room,103,Waffle Maker,Harry Potter and the Sorcerer's Stone,25,3,5,1,158,Oliver Doe,South Africa,4.9,95,20,12347,Returned,########,352
133,Games,Parts,112,Barbie,Ashley Furniture Sofa,2199,4,15,1,159,Sarah Doe,Israel,4.8,98,19,12361,Returned,########,351
123,Books,Necklaces,105,Foundation,1 Carat Diamond Necklace,19,4,6,1,172,Sophia Doe,Italy,4.7,75,16,12363,Delivered,########,360
140,Shoes,Living Room,109,Diamond Necklace,Cuisinart Belgian Waffle Maker,400,2,10,1,174,Tom Doe,Russia,4.9,98,14,12364,Delivered,########,355
129,Jewelry,Bottoms,115,Printer,Dewalt 18 Volt Drill,80,4,7,3,172,Mark Doe,UK,4.8,80,18,12350,Delivered,########,347
141,Outdoors,Bottoms,104,Barbie,Harry Potter and the Sorcerer's Stone,90,1,7,1,169,Isabella Doe,France,4.9,95,11,12363,Delivered,########,354
133,Appliances,Camping,118,Printer,50 inch LED 4K Ultra HD TV,599,3,5,1,167,James Doe,Canada,4.7,90,9,12364,Cancelled,########,361
137,Electronics,Small Appliances,104,Waffle Maker,Pepsi 12 Pack,150,4,6,2,170,Emily Doe,Germany,4.9,75,2,12358,Returned,########,349
137,Office,Running Shoes,109,Jeans,HP Color LaserJet Printer,90,2,8,2,166,Isabella Doe,Spain,4.9,80,17,12352,Shipped,########,358
140,Electronics,Phones,117,Tent,Cuisinart Belgian Waffle Maker,80,4,5,1,170,Ava Doe,Canada,4.9,98,11,12346,Returned,########,362
127,Automotive,Running Shoes,108,Drill,Nike Pegasus 36 Running Shoes,599,2,6,1,160,William Doe,Spain,4.9,95,11,12346,Cancelled,########,361
124,Clothing,Bottoms,116,Foundation,Dewalt 18 Volt Drill,80,4,5,3,157,Oliver Doe,Italy,4.9,90,20,12350,Cancelled,########,347
138,Shoes,Beverages,105,Printer,Pepsi 12 Pack,25,4,6,3,167,Emily Doe,Spain,4.9,95,11,12353,Cancelled,########,355
131,Books,Office Supplies,104,Nike Pegasus,Pepsi 12 Pack,90,4,6,1,164,Olivia Doe,US,4.8,90,9,12354,Delivered,########,347
141,Jewelry,Tools,109,Protein Powder,Spiderman Action Figure,35,2,10,3,160,John Doe,Israel,4.9,98,1,12362,Cancelled,########,355
137,Automotive,Office Supplies,119,Drill,90 Degree By Reflex Yoga Pants,45,3,5,3,168,William Doe,Italy,4.9,90,12,12347,Cancelled,########,353
141,Health,Living Room,107,Nike Pegasus,Optimum Nutrition Protein Powder,15,2,6,1,170,John Doe,Germany,4.9,90,2,12352,Cancelled,########,362
134,Kitchen,Board Games,110,Spiderman,Coleman 4 Person Tent,5.99,1,5,1,160,Emma Doe,China,4.9,98,5,12357,Delivered,########,351
123,Sports,Fiction,120,Foundation,HP Color LaserJet Printer,50,3,6,2,163,Oliver Doe,Spain,4.7,80,17,12363,Delivered,########,359
142,Appliances,Bottoms,119,Printer,90 Degree By Reflex Yoga Pants,799,2,8,3,174,Jack Doe,Spain,4.9,80,16,12349,Delivered,########,360
126,Shoes,Office Supplies,120,Sofa,Ashley Furniture Sofa,25,1,15,1,174,David Doe,US,4.9,90,19,12358,Delivered,########,363
140,Kitchen,Action Figures,116,Diamond Necklace,HP Color LaserJet Printer,19,1,6,2,173,Emma Doe,Germany,4.9,90,3,12350,Delivered,########,347
136,Electronics,Living Room,111,Barbie,1 Carat Diamond Necklace,25,3,5,1,162,David Doe,Germany,4.9,95,7,12358,Returned,########,353
131,Grocery,Small Appliances,117,Sofa,Keurig K-Cup Coffee Maker,150,4,15,3,160,Jack Doe,Brazil,4.8,98,15,12346,Cancelled,########,355
